PLU,CATEGORY,NAME,INGREDIENTS,COOKING_INSTRUCTIONS_BAKED,COOKING_INSTRUCTIONS_FRIED
223,Fish,Pecan Crunch Tilapia Filets,"Contains: FISH (TILAPIA), WHEAT, SOY, MILK, TREE NUTS (PECANS), SESAME, Tilapia, Vegetable Oil (Canola, cottonseed, and/or Soybean), Modified Corn Starch, Enriched Wheat Flou (Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Robiflavin, Folic Acid), contains 2 % or less of: Wheat Flour, citric acid, coconut, high fructose corn syrup, water, spices, dehydrated mango [Mango, sugar, citric acid, sulfur dioxide (added for color retention and preservative)], Garlic Powder, Dehydrated Papaya [Papaya, sugar, citric acid, sulfur dioxide (Added for color retention and preservative)], yeast, Flavored Bits [Corn syrup, corn flour, corn cereal, palm oil, natural flavor, fruit juice (for color), Vegetable Juice (for color), Oleoresin Turmeric (for color), Paprika (for color), Citric Acid], Onion Powder, Dehydrated Pineapple [Pineapple, Sugar, Citric Acid, Sulfur Dioxide (added for color retention and as a preservative)]. Torula Yeast, Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Roboflavin, Folic Acid), Mango Puree, Yellow Corn Flour, Autolyzed Yeast Extract, White Corn Flour, Dextrose, Cilantro, Soy Flour, Salt, Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate), Sugar, Natural and Artificial Flavors.",Place frozen filets on a lightly oiled baking pan. CONVECTIONAL Oven: Preheat Oven to 400 degrees and bake for 18 - 20 minutes. CONVENTIONAL Oven: Preheat oven to 425 degrees and bake for 27 - 28 minutes. NOTE: Cook to an internal temperature of 155 degrees minimum.,"Preheat air fryer to 400 degrees, Place the frozen fillets in a single layer in the basket, Air fry for 14 to 16 minutes, flipping halfway through, Be sure to cook the fish until it reaches an internal temperature of at least 155 degrees."
529,Fish,Parmesan Tilapia Filets,"Contains: FISH (TILAPIA), WHEAT, SOY, MILK, Tilapia, Vegetable Oil (Canola, cottonseed, and/or Soybean), Modified Corn Starch, Enriched Wheat Flou (Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Robiflavin, Folic Acid), contains 2 % or less of: Wheat Flour, citric acid, coconut, high fructose corn syrup, water, spices, dehydrated mango [Mango, sugar, citric acid, sulfur dioxide (added for color retention and preservative)], Garlic Powder, Dehydrated Papaya [Papaya, sugar, citric acid, sulfur dioxide (Added for color retention and preservative)], yeast, Flavored Bits [Corn syrup, corn flour, corn cereal, palm oil, natural flavor, fruit juice (for color), Vegetable Juice (for color), Oleoresin Turmeric (for color), Paprika (for color), Citric Acid], Onion Powder, Dehydrated Pineapple [Pineapple, Sugar, Citric Acid, Sulfur Dioxide (added for color retention and as a preservative)]. Torula Yeast, Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Roboflavin, Folic Acid), Mango Puree, Yellow Corn Flour, Autolyzed Yeast Extract, White Corn Flour, Dextrose, Cilantro, Soy Flour, Salt, Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate), Sugar, Natural and Artificial Flavors.",Place frozen filets on a lightly oiled baking pan. CONVECTIONAL Oven: Preheat Oven to 375 degrees and bake for 12 - 14 minutes. CONVENTIONAL Oven: Preheat oven to 400 degrees and bake for 18 - 20 minutes. NOTE: Cook to an internal temperature of 155 degrees minimum.,"Deep fry - preheat to 350 degrees, Carefully add the frozen fillets to the hot oil, Fry for about 3 minutes (or until golden brown). Keep a close eye on the cheese and panko breading to ensure it does not burn, Remove with a slotted spoon and let the fillets drain on a paper towel-lined plate before serving."
314,Appetizer,Meatballs,"Contains: MILK, WHEAT, SOY, Beef, Mechanically Separated Chicken, Water, Seasoning (Bread Crumbs [Wheat Flour, Salt, Yeast], Dried Onion, Parmesan/Romano Cheese Made From Cow’s Milk [Pasteurized Milk, Cheese Cultures, Salt, Enzymes], Salt, Dried Celery, Garlic Powder, Spices, Rice Flour, Malt Extract), Textured Soy Protein Concentrate (Soy Protein Concentrate, Caramel Color), Textured Soy Flour (Soy Flour, Caramel Color, Zinc Oxide, Niacinamide, Ferrous Sulfate, Copper Gluconate, Vitamin A Palmitate, Calcium Pantothenate, Thiamine Mononitrate [B1], Pyridoxine Hydrochloride [B6], Riboflavin [B2], and Cyanocobalamin [B12], Tomato Paste, Sodium Phosphate.",COVENTIONAL Oven - 350 degrees for 18 - 20 minutes; CONVECTIONAL Oven -  350 degrees for 13 - 15 minutes.,"Appliances vary, adjust accordingly to ensure internal temperature reaches 165 Degrees Fahrenheit as measured by a calibrated thermometer. Preheat Oil to 350 Degrees Fahrenheit. From Frozen place in fryer basket, submerge in oil and shake basket, Do NOT over pack product in basket. Cook the product for 5 – 5.5 minutes shaking the basket occasionally during cooking. For best performance hold product on a sheet pan, uncovered, with wire rack, above 135 Degrees Fahrenheit in a dry heat environment."
12,Chicken,Uncooked Breaded Chicken Breast,"Contains: WHEAT, Boneless Chicken Breast with Rib Meat, water Salt, Sodium Phosphates, seasoning [flavors, maltodextrin, sugar, salt, vegetable stock (Carrot, onion, celery), garlic powder]. Breaded with: Bleached Wheat Flour, Water, Wheat Flour, Contains 2% or less Canola Oil, Dextrose, Dried Garlic, Dried Onion, Leavening (Sodium Acid Phosphate, Sodium Bicarbonate, Monocalcium Phosphate), Modified Palm Oils, Natural Flavors, Salt, Spices, Turmeric Extract, Wheat Gluten, Yeast, Yeast Extract. Breading Set in Vegetable Oil.","Oven - Set your oven to 400°F. Line a rimmed baking sheet with aluminum foil or parchment paper. Lightly coat the pan or parchment with a cooking spray or a drizzle of oil. Place the uncooked, breaded chicken breasts on the sheet. Ensure the pieces do not overlap so the breading gets crispy.Cook for 15 minutes, then flip the chicken breasts over using a spatula.",Deep Fry: Cook time is 6 to 7 1/2 minutes from frozen
69,Chicken,Uncooked Wheat Breaded Chicken Nuggets,"Contains: WHEAT, Chicken Breast with Rib Meat, Water, Sodium Phosphates, Salt. Battered and Breaded with Wheat Flour, Water, Bleached Wheat Flour, Salt, Modified Corn Starch, Spices, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate, Sodium Aluminum Phosphate), Dextrose, Yellow Corn Flour, Garlic Powder, Citric Acid, Yeast, Spice Extractives, and Xanthan Gum. Breading Set in Vegetable Oil.","Appliances vary, adjust accordingly. Place frozen chunks in preheated oven at 400°F for 8-10 minutes. CONVECTION Oven - Place frozen chunks in preheated oven at 375°F for 6-8 minutes.","Deep Fry: Appliances vary, adjust accordingly. Place frozen chunks in 350 degrees oil for 2 - 2.5 minutes."
7,Chicken,Uncooked Breaded Hot Chicken Wings,"Contains: WHEAT, MILK, SOY, EGGS, Containing up to 14% of a Solution of Water, Seasoning (Salt, Spice, Modified Food Starch, Monosodium Glutamate, Nonfat Dry Milk, Maltodextrin, Gum Acacia, Flavorings, Fractionated Coconut Oil), Soy Protein Concentrate, Sodium Phosphates. Battered and Breaded with Bleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Roboflavin, Folic Acid), Water, Wheat Flour, Salt, Leavening (Sodium Aluminum Phosphate, Monocalcium Phosphate, Sodium Bicarbonate) Spices, Chili Pepper, Monosodium Glutamate, Calcium Carbonate, Natural Flavor, Dehydrated Bell Pepper, Garlic Powder, Onion Powder, Dehydrated Garlic, Extractives of Paprika. Predusted with Enriched Wheat Flour (Niacin, Reduced Iron, Thiamine Mononitrate, Roboflavin, Folic Acid), Wheat Flour, Wheat Gluten, Egg Whites, Salt. Breading Set in Vegetable Oil.",No Baking Instructions,"Deep Fry Frozen product at 350 Degrees Fahrenheit for 9.5 minutes or until product reaches 185 Degrees Fahrenheit Internal Temperature. Adjust Time and Temperature for amount cooked and equipment used. Do not overcook. Measure temperature with calibrated thermometer at the center of the thickest part of the product. Continue cooking, if necessary. Do not Microwave. Uncooked must be cooked to an internal temperature of 165 Degrees Fahrenheit as measured by use of a thermometer."
8,Chicken,Uncooked Breaded Mild Chicken Wings,"Contains: WHEAT, EGG, Containing up to 13% of a Solution of Water, Salt, and Sodium Phosphates. Battered and Breaded with Bleached Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Water, Wheat Flour, Salt, Leavening (Sodium Aluminum Phosphate, Monocalcium Phosphate, Sodium Bicarbonate) Spices, Chili Pepper, Monosodium Glutamate, Calcium Carbonate, Natural Flavor, Dehydrated Bell Pepper, Garlic Powder, Onion Powder, Dehydrated Garlic, Extractives of Paprika: Predusted with Enriched Wheat Flour (Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Wheat Flour, Wheat Gluten, Egg Whites, Salt. Breading Set in Vegetable Oil.",No Baking Instructions,"Deep fry frozen product at 350 degrees F., for 9 - 9.5 minutes or until product reaches 185 degress F internal temperature. Adjust time and temperature for amount cooked and equipment used. Do Not Overcook. Measure temperature with calibrated thermometer at the center of thickest part of the product. Continue cooking, if necessary. Do Not Microwave. Uncooked: For safety, must be cooked to an internal temperature of 165 degrees F as measured by use of a thermometer."
95,Breakfast,Pork Sausage Links,"Pork, Water, Contains 2 % or less of: Salt, Dextrose, Sugar, Monosodium Glutamate, Flavorings, BHA, BHT, Citric Acid. Stuffed in Beef Collagen Casings.\","Cook from frozen state. GRILL: Preheat flat top grill to 350 Degrees Fahrenheit. Place frozen links on grill. Cook 20 - 22 minutes or to a minimum internal temperature of at least 165 Degrees Fahrenheit, turning frequently for even browning. CONVECTION Oven: Preheat Convection Oven to 350 Degrees Fahrenheit. Place Frozen links on parchment lined sheet pan. Cook 16 - 18 minutes or to a minimum internal temperature of at least 165 Degrees Fahrenheit, turning halfway for even browning.",No Frying Instructions
15,Chicken,Fully Cooked Whole Grain Spicy Chicken Strips,"Contains: SOY, WHEAT, Chicken, water, textured soy protein concentrate, isolated soy protein, seasoning [brown sugar, onion powder, salt yeast extract, canola oil, carrot powder, garlic powder, citric acid, spice, vegetable stock (onion, celery, carrot), natural flavor], sodium phosphates. Breaded With: Whole wheat flour, enriched wheat flour (enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, sea salt blend (potassium chloride, sea salt, modified corn starch, spices (including celery seed), sugar. Wheat gluten, garlic powder, yeast extract, extractives of paprika, onion powder, maltodextrin, leavening (sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate), salt, natural flavors, vinegar, starter distillate, Breading set in vegetable oil.","Appliances vary, adjust accordingly. CONVECTION Oven: 6 - 8 minutes at 375 degrees from frozen. CONVENTIONAL Oven: 8 - 10 minutes at 400 degrees from frozen.","Appliances vary, adjust accordingly. Place frozen chunks in 350 degrees oil for 2 - 2.5 minutes."
33,Potato,Shredded Hashbrowns,"Potatoes, Dextrose, Disodium Dihydrogen Pyrophosphate (To maintain natural color).","GRILLING - Preheat Temp 375 - 400 degrees; Place item on a preheated, oiled grill. Pour 1/8 C of vegetable oil on the top of the potatoes. Allow potatoes to cook, undisturbed, until bottom shreds are golden brown (3-6 minutes). Flip potatoes and fry for an additional 4-5 minutes.Make sure product reaches a temperature of 165 degrees for 2 minutes.","Let them thaw completely. Place the shredded potatoes in a clean kitchen towel and squeeze out as much excess liquid as possible. Spread them out on a paper towel for 10 minutes to finish air-drying. Preheat a large, heavy nonstick or cast-iron skillet over medium-high heat. Add the oil and butter. Once the butter is melted and foaming, you are ready to cook. Add the shredded hash browns, pressing them down lightly into a thin, even layer about an inch and a halk thick. Do not press them into a heavy, impenetrable block, but gently pack the edges to hold the shape. Season with salt and pepper. Leave the potatoes completely alone for 5 - 6 minutes so they can develop a deep, golden crust."
60,Breakfast,French Toast Sticks,"Contains: SOY, WHEAT, Bread (Enriched Wheat Flour [Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Water, Sugar, Yeast, Yellow Corn Flour, Salt, Soybean Oil, Wheat Gluten, Cultured Wheat Flour, Grain Vinegar, Glyceryl Monooleate, Soy Lecithin, Turmeric [Color], Paprika Extract [Color], Polysorbate 60, Polysorbate 80, Ascorbic Acid, Enzymes), Water, Soybean Oil, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Yellow Corn Flour, Contains less than 2 % of the Following: Soy Flour, Salt, Gum Arabic, Soy Lecithin, Dextrose, Yeast, Leavening (Baking Soda, Monocalcium Phosphate), Natural and Artificial Flavor, Carrageenan, Polysorbate 80.","CONVECTION Oven- Preheat to 375ºF and Place frozen product on prepared baking sheet, cook for 6 to 7 minutes. Turn the product halfway through bake time for best results. CONVENTIONAL Oven- preheat to 400ºF. Place frozen product on the prepared baking sheet, and cook for 8 to 10 minutes. Turn the product halfway through bake time for best results. MICROWAVE - high power for 1 minute and 15 seconds.",No Frying Instructions
884,Appetizer,Dill Pickle and Cream Cheese Bombs,"Contains: SOY, MILK, WHEAT, Pickles (Cucumbers, water, distilled vinegar, salt, spices, garlic, mustard seed, turmeric), Batter (water, enriched wheat flour [flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], Modified Corn Starch, less than 2 % of wheat starch, palm oil, salt, distilled vinegar, leavening [Sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate, calcium lactate], Sugar, dextrose, soy protein isolate, sodium caseinate, methyl cellulose, yeast, annatto extract color, natural flavors, xanthan gum), cream cheese (cream, skim milk, salt, carob bean gum, cheese, culture), bread crumbs (bleached enriched wheat flour[flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], distilled vinegar, canola and/or sunflower oil, sea salt, leavening [sodium bicarbonate], dextrose, yeast, salt, lactic acid, natural flavors), canola oil, cultured dairy spread (cultured milk and cream, nonfat dry milk, modified corn starch, guar gum, carrageenan, carob bean gum, sodium citrate, disodium phosphate), Modified food starch, salt, dill weed, chopped garlic (garlic, soybean oil, water, citric acid, potassium sorbate [preservative]), spices (black pepper, cayenne pepper).",Preheat oven to 375 Degrees Fahrenheit. Spread pieces in single layer on baking sheet. Put in center of the oven. Bake for 15 to 17 minutes. Turn once halfway. Remove from oven and let stand 2 minutes before serving. Cook until minimum internal temperature of 165 degrees fahrenheit.,Deep Fry - heat oil to 350 degrees Fry frozen product submerged for 90 seconds.
183,Appetizer,Beef Tamales,"Contains: SOY, WHEAT, water, beef broth, yello corn meal, salt, cooked beef, enriched wheat flour (wheat flour, barley, malt, niacin, iron, thiamine mononitrate, riboflavin, folic acid), water, rye flour, yeast, salt, contains 2% or less of the following: Soybean Oil, Wheat Gluten, Dough Conditioners (Monocalcium Phosphate, Calcium Phosphate, Ammonium Sulfate), Calcium Propionate, Potassium Sorbate (Preservatives), Garlic Powder, Onion Powder, Paprika, and Salt.","Stovetop steaming - Fill a large pot with a couple of inches of water and place a steamer basket or rack inside, stand the tamales upright in the steamer, with the open side facing up. Pack them closely together to help them stay upright, bring the water to a boil, then reduce to a simmer. Cover the pot and steam the tamales for 60 - 75 minutes. To check for doneness, remove one tamale, the husk should peel away cleanly from the masa. If it sticks, steam for an additional 10 - 15 minutes. Oven - Preheat oven to 350 degrees, place tamales in a baking dish, cover with foil, and add a bit of water to the bottom of the dish to create steam, bake for about 30 - 40 minutes, check occasionally to ensure they don't dry out.",No Frying Instructions
534,Fish,Tortilla Crusted Tilapia with Chipotle and Lime,"Contains: FISH (TILAPIA), WHEAT, SOY, MILK, Tilapia, Vegetable Oil (Canola, Cottonseed, and/or Soybean), Modified Corn Starch, Enriched Wheat Flour (Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Robiflavin, Folic Acid), contains 2 % or less of: Wheat Flour, citric acid, coconut, high fructose corn syrup, water, spices, dehydrated mango [Mango, sugar, citric acid, sulfur dioxide (added for color retention and preservative)], Garlic Powder, Dehydrated Papaya [Papaya, sugar, citric acid, sulfur dioxide (Added for color retention and preservative)], yeast, Flavored Bits [Corn syrup, corn flour, corn cereal, palm oil, natural flavor, fruit juice (for color), Vegetable Juice (for color), Oleoresin Turmeric (for color), Paprika (for color), Citric Acid], Onion Powder, Dehydrated Pineapple [Pineapple, Sugar, Citric Acid, Sulfur Dioxide (added for color retention and as a preservative)]. Torula Yeast, Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Roboflavin, Folic Acid), Mango Puree, Yellow Corn Flour, Autolyzed Yeast Extract, White Corn Flour, Dextrose, Cilantro, Soy Flour, Salt, Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate), Sugar, Natural and Artificial Flavors.",CONVECTION Oven- Preheat Oven to 325 degrees and bake for 14-17 minutes. CONVENTIONAL Oven- Preheat Oven to 375°F and bake for 28-30 minutes. NOTE: COOK TO AN INTERNAL TEMPERATURE OF 155 degrees MINIMUM.,"Pan Fry - Add a thin layer of cooking oil (like canola or vegetable oil) to a large skillet over medium-high heat, Place the frozen fillets into the hot skillet. Do not overcrowd the pan; cook in batches if necessary. Fry for about 4 - 5 minutes on the first side until golden brown, then flip and fry for another 4 - 5 minutes.  Cook until the internal temperature reaches a minimum of 155 degrees and the fish flakes easily with a fork."
11,Chicken,Chicken Strips,"Contains: WHEAT, Chicken Tenders, water, bleached wheat flour, modified food starch, wheat flour, contains 2% or less of salt, flavoring, torula yeast, spices, sodium phosphates, leavening (sodium bicarbonate, monocalcium phosphate, sodium aluminum phosphate, sodium maltodextrin, sugar, sodium acid pyrophosphate), yellow corn flour, potato dextrin, extractives of paprika, rice flour, maltodextrin, sugar, soybean oil, natural flavor, garlic powder, autolyzed yeast extract, malted barley flour, onion powder, yeast extract, hydrolyzed corn protein, xanthan gum.","Preheat oven to 425 degrees, place item in a single layer on a baking sheet in the center of the oven, bake for 16 - 18 minutes or until crispy, and let stand a minute before eating.",Deep Fry at 350 degrees for 5 - 6 minutes
168,Appetizer,Beef and Cheese Mini Tacos,"Contains: WHEAT, MILK, SOY, GROUND BEEF, WATER, PASTEURIZED PROCESS CHEDDAR CHEESE (CULTURED MILK, WATER, SALT, SODIUM PHOSPHATE, CREAM, SODIUM HEXAMETAPHOSPHATE, SORBIC ACID [PRESERVATIVE], COLOR ADDED [CAROTENAL], LACTIC ACID, ENZYMES), ONIONS, TOMATO PASTE, BEEF BASE ROASTED BEEF AND CONCENTRATED BEEF STOCK, SALT, HYDROLYZED CORN AND WHEAT GLUTEN AND/OR SOY PROTEIN, BEEF FAT, CORN SYRUP SOLIDS, SUGAR, FLAVORINGS, YEAST EXTRACT, CARAMEL COLOR, MODIFIED FOOD STARCH, DISODIUM INOSINATE, AND DISODIUM GUANYLATE), CONTAINS LESS THAN 2% OF: GREEN CHILES, CHOPPED GARLIC (GARLIC, WATER, SOYBEAN OIL, PHOSPHORIC ACID, TEXTURED VEGETABLE PROTEINS (SOY FLOUR, CARAMEL COLOR), ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, SEASONING BLEND (SALT, DEHYDRATED GARLIC, SPICE, TURMERIC, MODIFIED FOOD STARCH, METHYLCELLULOSE, FLAVOR ENHANCER (YEAST, YEAST EXTRACT, SPICE, VINEGAR. TORTILLA: STONE GROUND CORN MASA FLOUR (WITH TRACE OF LIME), WATER. PREFRIED IN VEGETABLE OIL","Preheat oven to 425 degrees, place item in a single layer on a baking sheet in the center of the oven, bake for 7 - 10 minutes or until crispy, and let stand a minute before eating. Microwave- Place 5 of the item on a microwave safe plate, turn microwave on high for 45 seconds to 1 minute or until hot, let stand for 1 minute before eating.","Air Fryer - Place 5 of item in a single layer in an air fryer basket, air fry for 400 degrees at 5 minutes, let stand for 1 minute before eating."
214,Appetizer,Breaded Beef Ravioli,"Contains: WHEAT, MILK, EGGS, Enriched Extra Fancy Durum Flour and Semolina (Durum Wheat Flour, Semolina, Niacin, Iron [Ferrous Sulfate], Thiamine Mononitrate, Riboflavin, Folic Acid, Cooked Beef and Vegetables (Beef, Onions, Celery, Water, Salt, Corn Oil, Spices, Garlic, Beef Extract), Water, Concentrated Beef and Vegetable Broth (Beef, Onions, Celery, Water, Salt, Corn Oil, Spices, Garlic, Beef Extract), Bread Crumbs (Enriched Wheat Flour [Enriched with Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Salt, Leavening [Ammonium Bicarbonate]), Spinach, Parmesan Cheese (Pasteurized Part Skim Milk, Cheese Cultures, Salt, Enzymes), Tomato Paste, Whole Eggs, Spices, Bleached Wheat Flour, Water, Enriched Wheat Flour (Enriched with Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Modified Corn Starch, Salt, Sugar, Contains Less than 2% of Dextrose, Spices, Granulatea Garlic, Granulated Onion, Yeast, Dehydrated Parsley, Soybean Oil, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Extractives of Turmeric and Paprika.",Place frozen ravioli (do not thaw) on flat pan in oven. Bake 8 to 10 minutes (425 degrees -Conventional Oven) until internal temperature reaches 160 degrees. (Oven temperatures may vary.),Deep fry at 350 degrees with an internal temperature of 160 degrees. Ravioli will turn golden brown in 1.5 - 2 minutes. Sprinkle grated cheese and serve with sauce for dipping.
161,Appetizer,Gyro Slices,"Contains: WHEAT, Beef, Water, Bread Crumbs (wheat Flour, Contains 2% Or Less Of The Following: Sugar, Yeast, Expeller Pressed Sunflower Oil, Salt), Seasonings (corn Syrup Solids, Spices, Dehydrated Garlic, Hydrolyzed Corn Gluten, Autolyzed Yeast Extract), Salt, Lemon Juice.","CONVENTIONAL Oven- Preheat Oven 350 - 375 degrees, place the meat slices into a steam table pan or a shallow baking dish, Pour a small amount of hot beef broth into the pan (just enough to come up the sides without completely submerging the meat), Cover the pan tightly with foil and bake for about 15 minutes","Air Fryer - Place the slices in a single layer in your air fryer basket, set it to 400 degrees, Cook for about 4–5 minutes until nicely browned and heated to 165 degrees."